facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,hospital_type,hospital_ownership,emergency_services,birthing_friendly,overall_star_rating,mort_measures_better,mort_measures_same,mort_measures_worse,safety_measures_better,safety_measures_same,safety_measures_worse,readm_measures_better,readm_measures_same,readm_measures_worse,pt_exp_measures_count,timely_care_measures_count,transformed_at,measurement_year,rating_category,performance_tier,region,rank_by_rating
34036F,ASHEVILLE-OTEEN VA MEDICAL CENTER,1100 TUNNEL ROAD,ASHEVILLE,NC,28805,BUNCOMBE,(828) 298-7911,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,2,3,0,0,3,0,2,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,11
520207,AURORA MEDICAL CENTER,975 PORT WASHINGTON ROAD,GRAFTON,WI,53024,OZAUKEE,(262) 329-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,1,6,0,0,7,0,0,7,2,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,12
520206,AURORA MEDICAL CENTER - SUMMIT,36500 AURORA DRIVE,SUMMIT,WI,53066,WAUKESHA,(262) 434-1600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,6,0,0,5,0,2,4,1,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,13
520035,AURORA MEDICAL CENTER SHEBOYGAN COUNTY,2629 N 7TH ST,SHEBOYGAN,WI,53083,SHEBOYGAN,(920) 451-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,5,0,1,5,0,1,7,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,14
520059,AURORA MEMORIAL HOSPITAL BURLINGTON,252 MCHENRY ST,BURLINGTON,WI,53105,RACINE,(262) 767-6545,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,0,4,0,1,2,0,2,4,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,15
430095,AVERA HEART HOSPITAL OF SOUTH DAKOTA,4500 W 69TH ST,SIOUX FALLS,SD,57108,LINCOLN,(605) 977-7000,Acute Care Hospitals,Proprietary,Yes,,5,0,4,0,1,1,0,1,4,0,8,7,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,16
430014,AVERA ST LUKES,305 S STATE ST  POST OFFICE BOX 4450,ABERDEEN,SD,57401,BROWN,(605) 622-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,0,6,0,0,6,0,1,8,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,17
100046,Adventhealth Zephyrhills,7050 GALL BLVD,ZEPHYRHILLS,FL,33541,PASCO,(813) 615-7219,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,1,5,0,1,5,0,1,7,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,18
180104,BAPTIST HEALTH PADUCAH,2501 KENTUCKY AVENUE,PADUCAH,KY,42003,MC CRACKEN,(270) 575-2100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,0,7,0,1,4,1,2,8,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,19
100140,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,FERNANDINA BEACH,FL,32034,NASSAU,(904) 321-3500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,0,5,0,1,2,0,1,5,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,20
440130,BAPTIST MEMORIAL HOSPITAL UNION CITY,"1201 BISHOP ST, PO BOX 310",UNION CITY,TN,38261,OBION,(731) 885-2410,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,4,0,1,2,0,1,5,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,21
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,(907) 796-8900,Acute Care Hospitals,Government - Local,Yes,Y,5,0,4,0,0,3,0,0,9,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,22
450885,BAYLOR SCOTT &  WHITE MEDICAL CENTER - CENTENNIAL,12505 LEBANON ROAD,FRISCO,TX,75035,COLLIN,(972) 963-3333,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,0,5,0,0,3,0,0,7,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,23
450563,BAYLOR SCOTT & WHITE MEDICAL CENTER  GRAPEVINE,1650 W COLLEGE ST,GRAPEVINE,TX,76051,TARRANT,(817) 481-1588,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,2,4,0,1,7,0,1,6,1,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,24
670108,BAYLOR SCOTT & WHITE MEDICAL CENTER - MARBLE FALLS,810 W HIGHWAY 71,MARBLE FALLS,TX,78654,BURNET,(254) 215-9791,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,4,0,0,3,0,0,9,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,25
450079,BAYLOR SCOTT & WHITE MEDICAL CENTER AT IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,DALLAS,(972) 579-8100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,6,0,2,4,0,0,7,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,26
450372,BAYLOR SCOTT & WHITE MEDICAL CENTER- WAXAHACHIE,2400 N INTERSTATE HIGHWAY 35E,WAXAHACHIE,TX,75165,ELLIS,(972) 923-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,1,5,0,0,4,0,0,8,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,27
450864,BAYLOR SCOTT & WHITE TEXAS SPINE & JOINT HOSPITAL,1814 ROSELAND BOULEVARD,TYLER,TX,75701,SMITH,(903) 525-3300,Acute Care Hospitals,Physician,Yes,,5,,,,0,3,0,1,1,1,8,6,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,28
670025,BAYLOR SCOTT & WHITE THE HEART HOSPITAL PLANO,1100 ALLIED DRIVE,PLANO,TX,75093,COLLIN,(469) 814-3278,Acute Care Hospitals,Physician,Yes,,5,1,4,0,2,1,0,0,6,0,8,8,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,29
220030,BAYSTATE WING HOSPITAL,40 WRIGHT STREET,PALMER,MA,01069,HAMPDEN,(413) 283-7651,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,5,1,3,0,1,3,0,0,7,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,30
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,(304) 255-2121,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,0,3,0,0,1,0,2,2,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,31
280132,BELLEVUE MEDICAL CENTER,2500 BELLEVUE MEDICAL CENTER DR,BELLEVUE,NE,68123,SARPY,(402) 763-3600,Acute Care Hospitals,Proprietary,Yes,,5,2,4,0,0,6,0,0,8,0,8,9,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,32
520049,BELLIN MEMORIAL HOSPITAL,744 S WEBSTER AVE,GREEN BAY,WI,54301,BROWN,(920) 433-3500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,7,0,2,4,0,1,9,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,33
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 933-4515,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,2,3,0,0,4,0,0,6,0,8,6,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,34
13003F,BOISE VA MEDICAL CENTER,500 W. FORT STREET,BOISE,ID,83702,ADA,(208) 422-1000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,1,3,0,0,4,0,1,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,35
220119,BRIGHAM AND WOMEN FAULKNER HOSPITAL,1153 CENTRE STREET,JAMAICA PLAIN,MA,02130,SUFFOLK,(617) 983-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,4,1,0,0,6,0,1,8,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,36
220110,BRIGHAM AND WOMEN'S HOSPITAL,75 FRANCIS STREET,BOSTON,MA,02115,SUFFOLK,(617) 732-5500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,3,4,0,2,6,0,1,8,2,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,37
240076,BUFFALO HOSPITAL,303 CATLIN STREET,BUFFALO,MN,55313,WRIGHT,(763) 682-1212,Acute Care Hospitals,Voluntary non-profit - Other,No,Y,5,0,2,0,0,3,0,0,6,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,38
210039,CALVERTHEALTH MEDICAL CENTER,100 HOSPITAL ROAD,PRINCE FREDERICK,MD,20678,CALVERT,(410) 535-8240,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,0,6,0,1,4,0,0,9,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,39
050625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,LOS ANGELES,CA,90048,LOS ANGELES,(310) 423-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,6,1,0,3,5,0,2,6,3,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,40
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON,SC,29401,CHARLESTON,(843) 577-5011,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,1,4,0,0,4,0,0,6,0,8,6,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,41
53004F,CHEYENNE VA MEDICAL CENTER,2360 E. PERSHING BLVD.,CHEYENNE,WY,82001,LARAMIE,(307) 778-7300,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,0,3,0,0,1,0,1,3,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,42
280130,CHI HEALTH LAKESIDE,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,DOUGLAS,(402) 717-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,0,5,0,1,6,0,1,7,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,43
370180,CHICKASAW NATION MEDICAL CENTER,1921 STONECIPHER BLVD,ADA,OK,74820,PONTOTOC,(580) 436-3980,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,5,0,3,0,0,3,0,0,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,44
360163,CHRIST HOSPITAL,2139 AUBURN AVENUE,CINCINNATI,OH,45219,HAMILTON,(513) 585-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,1,6,0,2,6,0,0,11,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,45
450573,CHRISTUS JASPER MEMORIAL HOSPITAL,1275 MARVIN HANCOCK DRIVE,JASPER,TX,75951,JASPER,(409) 384-5461,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,0,3,0,,,,0,4,0,,8,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,46
450828,CHRISTUS SPOHN HOSPITAL ALICE,2500 E MAIN STREET,ALICE,TX,78332,JIM WELLS,(361) 661-8016,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,3,0,0,3,0,1,2,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,47
320002,CHRISTUS ST VINCENT REGIONAL MEDICAL CENTER,455 ST MICHAEL'S DRIVE,SANTA FE,NM,87505,SANTA FE,(505) 913-3361,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,6,0,0,6,0,5,4,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,48
36003F,CINCINNATI VA MEDICAL CENTER,3200 VINE STREET,CINCINNATI,OH,45220,HAMILTON,(513) 861-3100,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,2,2,0,0,4,0,2,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,49
030138,CITY OF HOPE CANCER CENTER PHOENIX,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,MARICOPA,(623) 207-3000,Acute Care Hospitals,Proprietary,No,,5,,,,0,3,0,1,4,0,,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,50
360180,CLEVELAND CLINIC,9500 EUCLID AVENUE,CLEVELAND,OH,44195,CUYAHOGA,(216) 952-9829,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,4,3,0,2,5,1,2,8,1,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,51
360364,CLEVELAND CLINIC AVON HOSPITAL,33300 CLEVELAND CLINIC BLVD,AVON,OH,44011,LORAIN,(440) 695-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,5,2,4,0,1,6,0,0,7,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,52
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA,SC,29209,RICHLAND,(803) 695-7980,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,0,3,0,0,3,0,0,5,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,53
141343,CRAWFORD MEMORIAL HOSPITAL,1000 NORTH ALLEN STREET,ROBINSON,IL,62454,CRAWFORD,(618) 544-3131,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Y,5,0,3,0,,,,0,4,0,8,8,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,54
360351,CRYSTAL CLINIC ORTHOPAEDIC CENTER,444 NORTH MAIN STREET,AKRON,OH,44310,SUMMIT,(330) 670-4152,Acute Care Hospitals,Proprietary,No,,5,,,,1,2,0,0,3,0,8,4,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,55
23037F,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER,4646 JOHN R.,DETROIT,MI,48201,WAYNE,(313) 576-1000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,2,3,0,0,4,0,1,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,56
100296,DOCTORS HOSPITAL,5000 UNIVERSITY DR,CORAL GABLES,FL,33146,MIAMI-DADE,(786) 308-3000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,5,1,3,0,1,2,0,0,5,1,8,9,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,57
050242,DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,SANTA CRUZ,CA,95065,SANTA CRUZ,(831) 462-7700,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,1,6,0,1,6,0,1,9,1,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,58
521358,DOOR COUNTY MEDICAL CENTER,323 SOUTH 18TH AVENUE,STURGEON BAY,WI,54235,DOOR,(920) 743-5566,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,3,0,0,1,0,0,4,0,8,7,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,59
340030,DUKE UNIVERSITY HOSPITAL,2301  ERWIN RD,DURHAM,NC,27705,DURHAM,(919) 684-8111,Acute Care Hospitals,Proprietary,Yes,Y,5,2,4,1,2,5,1,2,9,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,60
420089,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DR,MOUNT PLEASANT,SC,29464,CHARLESTON,(843) 881-0100,Acute Care Hospitals,Proprietary,Yes,Y,5,0,4,0,1,2,0,0,7,0,8,9,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,61
341304,ECU HEALTH BERTIE HOSPITAL,1403 S KING ST,WINDSOR,NC,27983,BERTIE,(252) 794-6600,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,5,0,3,0,,,,2,2,0,,7,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,62
240075,ESSENTIA HEALTH ST JOSEPH'S MEDICAL CENTER,523 NORTH 3RD STREET,BRAINERD,MN,56401,CROW WING,(218) 829-2861,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,5,0,1,4,0,1,8,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,63
500124,EVERGREENHEALTH MEDICAL CENTER,12040 NE 128TH STREET,KIRKLAND,WA,98034,KING,(425) 899-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,5,0,6,0,2,5,0,1,9,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,64
300023,EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,03833,ROCKINGHAM,(603) 778-7311,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,5,0,1,6,0,1,9,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,65
360077,FAIRVIEW HOSPITAL,18101 LORAIN AVENUE,CLEVELAND,OH,44111,CUYAHOGA,(216) 476-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,4,3,0,2,5,0,0,10,1,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,66
35002F,FARGO VA MEDICAL CENTER,2101 ELM STREET,FARGO,ND,58102,CASS,(701) 232-3241,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,2,1,0,0,2,0,1,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,67
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,0,3,0,0,1,0,2,2,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,68
440110,FORT LOUDOUN MEDICAL CENTER,550 FORT LOUDON MEDICAL CENTER DR,LENOIR CITY,TN,37772,LOUDON,(865) 271-6000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,5,0,4,0,0,3,0,0,6,0,8,9,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,South,69
150057,FRANCISCAN HEALTH MOORESVILLE,1201 HADLEY RD,MOORESVILLE,IN,46158,MORGAN,(317) 831-1160,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,0,3,0,1,4,0,0,8,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,70
050232,FRENCH HOSPITAL MEDICAL CENTER,1911 JOHNSON AVE,SAN LUIS OBISPO,CA,93401,SAN LUIS OBISPO,(805) 543-5353,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,7,0,2,4,0,1,8,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,71
390048,GEISINGER-LEWISTOWN HOSPITAL,400 HIGHLAND AVENUE,LEWISTOWN,PA,17044,MIFFLIN,(717) 248-5411,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,5,0,1,4,0,1,7,0,8,11,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,72
050357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,SANTA BARBARA,CA,93111,SANTA BARBARA,(805) 967-3411,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,5,0,2,0,0,3,0,1,3,1,8,7,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,73
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,(970) 244-1329,Acute Care - Veterans Administration,Veterans Health Administration,Yes,,5,0,3,0,0,2,0,1,4,0,8,5,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,74
310001,HACKENSACK UNIVERSITY MEDICAL CENTER,30 PROSPECT AVE,HACKENSACK,NJ,07601,BERGEN,(551) 996-2000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,5,2,0,4,4,0,2,6,3,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Northeast,75
261321,HEDRICK MEDICAL CENTER,2799 NORTH WASHINGTON STREET,CHILLICOTHE,MO,64601,LIVINGSTON,(660) 646-1480,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,5,0,3,0,0,1,0,0,5,0,8,10,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,76
150005,HENDRICKS REGIONAL HEALTH,1000 E MAIN ST,DANVILLE,IN,46122,HENDRICKS,(317) 745-4451,Acute Care Hospitals,Government - Local,Yes,Y,5,0,5,0,0,7,0,0,10,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,77
360230,HILLCREST HOSPITAL,6780 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,CUYAHOGA,(440) 312-4500,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,5,3,4,0,3,4,0,0,11,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,78
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,(949) 764-4624,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,1,6,0,2,5,0,1,9,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,West,79
230072,HOLLAND COMMUNITY HOSPITAL,602 MICHIGAN AVE,HOLLAND,MI,49423,OTTAWA,(616) 392-5141,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,0,5,0,1,3,0,0,10,0,8,12,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,80
361320,HOLZER MEDICAL CENTER JACKSON,500 BURLINGTON ROAD,JACKSON,OH,45640,JACKSON,(740) 395-8500,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,5,0,3,0,0,1,0,0,4,0,,8,2026-03-23 12:39:10.010006+00:00,2026,5 Stars (Excellent),High Performer,Midwest,81
